team_a_ppg_dif_l4,team_b_ppg_dif_l4,team_a_shots_average,team_b_shots_average,predict_xg_overall_team_a,predict_xg_overall_team_b,position_a_prematch,position_b_prematch,predict_xg_home_team_a,predict_xg_away_team_b,Result
1.0,1.11111,10.65,14.1,0.9,3.255,12,1,0.860095,2.66028,1
0.822857,0.946667,11.45,15.6,1.54,2.3575,6,3,1.97494,1.76374,0
0.48,0.852,16.45,16.25,1.7825,2.28,5,2,2.31313,2.0314,2
1.09,1.49333,16.05,10.57,5.4289,1.254,2,16,6.69747,1.02104,1
2.53,1.76,10.86,10.38,2.4453,1.9184,10,12,3.41215,2.01099,2
4.96,0.54,11.1,11.24,1.573,2.888,15,6,1.47658,2.38492,1
2.0,0.746667,8.57,11.86,1.3527,1.302,14,10,1.77824,1.11625,1
1.45333,0.328,11.38,16.14,1.2255,2.4021,8,5,1.22924,1.62802,2
1.33333,3.28,9.76,9.38,2.5403,1.2635,7,16,2.87594,0.967463,0
0.473333,0.646667,15.43,17.81,1.287,2.5215,4,2,1.62895,1.97799,2
1.0,1.35,13.71,10.48,1.458,1.426,11,13,1.43854,1.27727,0
0.8,0.471111,14.0,9.0,3.3744,1.1445,3,9,5.5705,1.14937,0
1.12444,2.12,13.86,9.95,4.5796,0.6745,1,15,5.41263,0.734411,0
0.536,1.0,11.41,10.95,2.7115,2.4386,11,16,3.23795,2.781,1
0.824,4.0,14.45,10.55,3.9044,1.197,2,12,6.23589,1.36738,1
0.74,1.22,9.09,10.55,1.8312,1.635,11,13,2.27952,1.37242,0
3.66,0.568889,8.64,9.91,1.0496,1.5504,14,8,1.30388,1.20988,2
4.44,0.8,9.36,17.27,0.6643,3.9155,17,3,0.903117,3.44868,2
0.446667,1.70667,10.45,14.0,1.3924,2.32,15,10,1.89866,2.67252,0
1.776,0.52,16.05,13.73,1.5776,2.6108,4,1,2.02084,2.64433,2
0.626667,2.17,11.86,15.5,1.6768,3.2144,9,5,1.95116,2.64981,1
0.915,1.44,16.45,10.0,3.21,0.8736,6,16,4.69932,1.12198,2
1.46286,0.576,11.18,11.55,1.3208,2.325,9,7,1.73503,2.24176,2
1.17143,1.20571,13.43,14.43,2.2672,1.554,1,2,2.09972,1.06265,0
1.12,4.52,10.87,9.13,2.5298,1.5486,12,14,2.16575,1.32125,1
0.568,4.22,11.48,11.3,2.6492,1.4595,5,10,2.7984,1.01113,0
1.37,3.01333,9.87,15.65,1.0614,4.633,13,3,0.907137,3.0386,0
1.89333,1.26,13.78,11.61,1.74,1.5246,9,8,1.62713,1.24375,1
0.888,0.806667,10.43,9.43,1.6848,1.853,9,7,2.0595,1.26587,0
0.782857,0.58,10.13,11.17,2.052,1.5876,6,7,2.19115,1.27309,0
1.025,1.4,17.09,8.78,2.2148,0.5658,2,11,2.65997,0.380019,0
1.17143,0.28,15.26,10.43,4.633,1.4884,3,11,5.09013,1.06692,0
3.8,1.26,10.48,16.57,0.9464,2.376,11,4,0.729893,1.36089,1
0.5,0.714286,14.25,9.79,4.2336,1.0672,4,15,6.15599,1.26295,0
1.3,0.475,16.54,10.58,2.505,1.0527,6,10,3.84153,1.21627,0
2.2,0.84,8.71,11.62,0.8927,1.8871,14,7,1.20022,1.59944,2
0.6,1.06667,11.12,11.21,2.2627,1.995,11,16,2.56443,2.24188,0
0.75,1.6,9.17,14.04,1.29,1.75,16,12,1.69161,1.91794,1
3.9,0.725,15.88,17.12,1.4472,2.4,5,2,2.00098,2.10485,0
0.766667,0.98,9.5,13.46,0.7739,3.0952,11,1,0.80616,2.25314,2
0.5,1.0,10.21,10.38,2.052,2.25,14,14,2.89061,2.47629,0
2.6,1.2,11.42,15.38,1.7666,3.9984,13,3,2.20757,3.44043,1
1.24,0.315556,13.44,10.24,4.4928,0.8928,1,11,4.70025,0.703682,0
1.01333,2.38,11.04,8.76,1.3824,1.3984,15,12,1.37269,1.08911,0
0.38,0.71,11.4,9.16,2.944,1.0368,6,15,3.19125,0.793388,0
2.48,1.24,9.76,9.4,1.2672,2.1168,14,9,1.43818,1.74485,2
0.69,4.4,10.08,11.12,2.6656,1.736,7,10,3.01686,1.44538,0
0.68,0.68,10.56,11.44,1.9952,2.2848,9,8,2.17172,1.63038,2
1.6,1.52,16.64,11.0,2.6496,0.864,3,8,3.02225,0.600981,0
